time,mac_address,service_uuid,rssi
15:22:31,52:af:ba:12:55:9c,4c000c0e00dcdf7a77b39324fa462f5eb6551006491d614bd9581a,-71
15:22:31,6e:06:86:37:a2:72,4c00090813d5c0a865361b581a,-59
15:22:31,4a:f7:22:04:bd:ed,4c000f06a033b09147001002430c021a,-56
15:22:31,18:bc:f0:24:a0:e5,f1fc042934f6d47864926db814e9ddd2f5ba2b1806a777dc02,-50
15:22:31,22:3f:74:64:e0:59,f1fc047699846585566b2ddcf4cfe4b655d2a874dfa5a1e702,-71
15:22:31,78:91:c3:32:88:e8,4c0010054d1c3357ef0c1a,-52
15:22:31,61:54:c7:db:9b:ee,f3fe1101beca5dec,-90
15:22:31,45:c6:03:31:f9:5c,4c000c0e087774d1ac186b43ac83fe1255d410060f1dab66a6181a,-49
15:22:31,57:cb:c1:28:28:93,4c001007301fd36a6b4b28081a,-61
15:22:31,65:af:9b:00:e7:64,8ebc2114-4abd-ba0d-b7c6-ff0a00200037,-61
15:22:31,7c:17:42:69:85:6f,4c0010057f1cf2caf90c1a,-58
15:22:31,7f:96:96:c2:84:7b,4c00100203000b1a,-58
15:22:31,61:9b:86:47:1c:fa,f3fe4a17234c35494a11320d73bba3afcb203cc3fb1751958faed01b180000fef3-0000-1000-8000-00805f9b34fb,-54
15:22:31,dc:0d:30:1e:33:84,4c000215fda50693a4e24fb1afcfc6eb07647825275165c1fdelpis_0020000fef5-0000-1000-8000-00805f9b34fbf0ff2e021992dc0d301e3384640000feaa-0000-1000-8000-00805f9b34fb06,-67
15:22:31,fd:f2:3f:06:3c:f3,3dfd76006909fdf23f063cf300ff67ad8fa694068f200006,-90
15:22:31,45:a4:4a:b6:2c:a3,4c0010060b1ee7540106071a,-65
15:22:31,6d:81:00:ed:5f:ef,4c0009081362c0a8640f1b58160800426df515a927961a,-54
15:22:31,ed:6c:25:3e:ba:df,4c00121910cb5b853df5e77994d295a86ff15b020b030fe6c9c1ed030f,-61
15:22:31,54:8b:f1:30:32:b6,4c000c0e00dcdf7a77b39324fa462f5eb6551006491d614bd9581a,-65
15:22:31,fb:6e:df:af:49:a9,Rbtd50203605e1b530700000000000000260027005bdaffffffffffffffff06,-61
15:22:31,7b:fb:fb:da:76:54,e0006509ca352f669ffe00000000000000000000000000000000000000000000fe9f-0000-1000-8000-00805f9b34fb,-54
15:22:31,69:60:f6:33:fa:a9,7500c14da2708bef02,-73
15:22:31,70:ff:6f:9c:86:5a,4c0009081350c0a8c9021b5816080006925111dbf2c31a,-56
15:22:31,d0:d2:b0:8b:78:b3,4c0010050d14b338050c1a,-51
15:22:31,7b:27:70:1d:70:a6,4c001006211e3801d9300c1a,-96
15:22:31,fd:3a:f7:6e:01:62,4c0012020001,-50
15:22:31,59:40:e4:b8:04:19,4c000512000000000000000002299e7b5b747fdc6e001a,-58
15:22:31,42:42:24:7b:a1:14,4c0009081363ac10652a1b581608006e14f2f5daaeb71a,-68
15:22:31,30:53:c1:34:f3:11,c00300001812-0000-1000-8000-00805f9b34fbffffffff1a,-69
15:22:31,2a:69:86:23:60:a0,4c00090603c4c0a865491a,-50
15:22:31,40:e2:ea:73:77:e9,4c000c0e087774d1ac186b43ac83fe1255d410060f1dab66a6181a,-50
15:22:31,74:4d:d5:38:ed:89,4c0009081331c0a865031b581a,-53
15:22:31,61:a1:25:d9:0d:0b,4c0010054d1c3357ef0c1a,-50
15:22:31,79:43:8b:9e:08:d6,b8fe22018e053247305943315a463746303731530000feb8-0000-1000-8000-00805f9b34fbMeta Quest 302,-67
15:22:31,50:de:06:91:e4:5a,4c0010050110e2c1920c1a,-86
15:22:31,df:e3:27:79:12:68,4c0012020001,-64
15:22:31,41:ae:59:f2:50:91,e0006508ca52cf879ffe00000000000000000000000000000000000000000000fe9f-0000-1000-8000-00805f9b34fb,-60
15:22:31,25:28:4c:d7:cd:bb,f3fe4a17235758505511320fe2b734eefdd66fc1923adf2483b12207ce,-66
15:22:31,cf:44:22:a4:96:78,4c0012020002,-53
15:22:31,45:73:ef:e3:e6:a7,f3fe4a1723325646441132c8903eacb8c37ae1cb5ab2c8f4869c14b6bc0000fef3-0000-1000-8000-00805f9b34fb,-92
15:22:31,12:15:d1:7c:97:d7,f3fe4a1723485136461132f5fdf74f70c04158b325d41f2504777f545d,-89
15:22:31,f8:74:5d:81:62:fe,0f18214c000215e7d61ea3f8dd49c88f2ff2484c07acb900010022ba06,-82
15:22:31,c5:40:b2:e8:ba:ff,4c0012020002,-75
15:22:31,dc:0d:30:1e:33:3e,4c000215722eb21f8f6a4ba9a12f05c0f970a177d8ac93bcc5elpis_0030000fef5-0000-1000-8000-00805f9b34fbf0ff2e021992dc0d301e333e640000feaa-0000-1000-8000-00805f9b34fb06,-58
15:22:31,20:2f:8f:e1:ad:86,06000109202259be55797f0927e10eb5184235f4c1ee83918ad9ec39e7,-96
15:22:31,dc:0d:30:15:9a:d0,FSC-BP1080000fef5-0000-1000-8000-00805f9b34fbf0ff27021992dc0d30159ad0640000feaa-0000-1000-8000-00805f9b34fb06,-70
15:22:31,51:38:79:f5:b9:8c,060001092002cea0d531c785c9407413bb9f9ff5563f92e33a13679266,-89
15:22:31,ca:6d:f0:7a:64:41,4c001219104bf3e1b25a1cfb93bdd247ca3a4819573959767242c4021d,-86
15:22:31,c9:c2:30:89:2e:cb,4c0012020002,-61
15:22:31,ea:31:37:11:72:a0,4c0012020001,-62
15:22:31,52:76:52:d1:29:db,4c000c0e00eff8081da50b0a197ab03e089310064f1d91b832281a,-95
15:22:31,25:26:51:29:94:bc,f3fe4a1723305549371132531f1b0d97d64d668379ef45dc434a300cdd,-66
15:22:31,dc:0d:30:15:9a:be,FSC-BP1080000fef5-0000-1000-8000-00805f9b34fbf0ff27021992dc0d30159abe640000feaa-0000-1000-8000-00805f9b34fb06,-67
15:22:31,dc:0d:30:1e:33:91,aafe100b03656c7069732e6b61694a6c61622e6465760000feaa-0000-1000-8000-00805f9b34fb06,-58
15:22:31,5c:7e:23:57:85:06,4c000c0e00eff8081da50b0a197ab03e089310064f1d91b832281a,-96
15:22:31,e0:6f:6e:87:f6:7a,0f18214c0002158ebc21144abdba0db7c6ff0f0020002500010069ba06,-64
15:22:31,7d:26:1f:f6:68:57,8ebc2114-4abd-ba0d-b7c6-ff0a00200037,-54
15:22:31,1b:50:f4:04:52:55,stay test040678ed8976-601f-0431-43e3-bbcd164981bc,-71
15:22:41,25:28:4c:d7:cd:bb,f3fe4a17235758505511320fe2b734eefdd66fc1923adf2483b12207ce,-68
15:22:41,18:bc:f0:24:a0:e5,f1fc042934f6d47864926db814e9ddd2f5ba2b1806a777dc02,-65
15:22:41,22:3f:74:64:e0:59,f1fc047699846585566b2ddcf4cfe4b655d2a874dfa5a1e702,-62
15:22:41,74:4d:d5:38:ed:89,4c0009081331c0a865031b581a,-55
15:22:41,fd:f2:3f:06:3c:f3,3dfd76006909fdf23f063cf300ff67ad8fb094068f200006,-92
15:22:41,52:af:ba:12:55:9c,4c000c0e00dcdf7a77b39324fa462f5eb6551006491d614bd9581a,-63
15:22:41,6e:06:86:37:a2:72,4c00090813d5c0a865361b581a,-63
